Innings_Player,Innings_Runs_Scored,Innings_Runs_Scored_Num,Innings_Minutes_Batted,Innings_Batted_Flag,Innings_Not_Out_Flag,Innings_Balls_Faced,Innings_Boundary_Fours,Innings_Boundary_Sixes,Innings_Batting_Strike_Rate,Innings_Number,Opposition,Ground,Match_Date,Country,50's,100's,Innings_Runs_Scored_Buckets,Result,Margin,Match,Home/Away,Match_Month,Match_Year,Match_Period,Matches,Pred_Result
DJ Malan,103*,103,79,1.0,1.0,51,9,6,201.96,1,v New Zealand,Napier,2019/11/08,England,0.0,1.0,100-149,Won,76 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
EJG Morgan,91,91,59,1.0,0.0,41,7,7,221.95,1,v New Zealand,Napier,2019/11/08,England,1.0,0.0,50-99,Won,76 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
T Banton,31,31,35,1.0,0.0,20,4,1,155.00,1,v New Zealand,Napier,2019/11/08,England,0.0,0.0,0-49,Won,76 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
JM Bairstow,8,8,15,1.0,0.0,9,1,0,88.88,1,v New Zealand,Napier,2019/11/08,England,0.0,0.0,0-49,Won,76 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
SW Billings,0*,0,3,1.0,1.0,1,0,0,0.00,1,v New Zealand,Napier,2019/11/08,England,0.0,0.0,0-49,Won,76 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
DJ Malan,103*,103,79,1.0,1.0,51,9,6,201.96,1,v New Zealand,Napier,2019/11/08,England,0.0,1.0,100-149,Won,76 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
EJG Morgan,91,91,59,1.0,0.0,41,7,7,221.95,1,v New Zealand,Napier,2019/11/08,England,1.0,0.0,50-99,Won,76 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
T Banton,31,31,35,1.0,0.0,20,4,1,155.00,1,v New Zealand,Napier,2019/11/08,England,0.0,0.0,0-49,Won,76 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
JM Bairstow,8,8,15,1.0,0.0,9,1,0,88.88,1,v New Zealand,Napier,2019/11/08,England,0.0,0.0,0-49,Won,76 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
SW Billings,0*,0,3,1.0,1.0,1,0,0,0.00,1,v New Zealand,Napier,2019/11/08,England,0.0,0.0,0-49,Won,76 runs,New Zealand v England,Away,Nov,2019,Nov 2019,1,Won
