Innings_Player,Innings_Runs_Scored,Innings_Runs_Scored_Num,Innings_Minutes_Batted,Innings_Batted_Flag,Innings_Not_Out_Flag,Innings_Balls_Faced,Innings_Boundary_Fours,Innings_Boundary_Sixes,Innings_Batting_Strike_Rate,Innings_Number,Opposition,Ground,Match_Date,Country,50's,100's,Innings_Runs_Scored_Buckets,Result,Margin,Match,Home/Away,Match_Month,Match_Year,Match_Period,Matches,Pred_Result
EJG Morgan,80*,80,75,1.0,1.0,46,4,6,173.91,1,v New Zealand,Hamilton,2018/02/18,England,1.0,0.0,50-99,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
DJ Malan,53,53,41,1.0,0.0,36,2,5,147.22,1,v New Zealand,Hamilton,2018/02/18,England,1.0,0.0,50-99,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
JJ Roy,21,21,14,1.0,0.0,13,3,1,161.53,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
DJ Willey,10,10,5,1.0,0.0,5,2,0,200.00,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
LA Dawson,10,10,3,1.0,0.0,3,1,1,333.33,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
CJ Jordan,6*,6,1,1.0,1.0,1,0,1,600.00,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
SW Billings,6,6,17,1.0,0.0,8,0,0,75.00,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
JC Buttler,2,2,7,1.0,0.0,5,0,0,40.00,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
AD Hales,1,1,10,1.0,0.0,4,0,0,25.00,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Lost
EJG Morgan,80*,80,75,1.0,1.0,46,4,6,173.91,1,v New Zealand,Hamilton,2018/02/18,England,1.0,0.0,50-99,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
DJ Malan,53,53,41,1.0,0.0,36,2,5,147.22,1,v New Zealand,Hamilton,2018/02/18,England,1.0,0.0,50-99,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
JJ Roy,21,21,14,1.0,0.0,13,3,1,161.53,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
DJ Willey,10,10,5,1.0,0.0,5,2,0,200.00,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
LA Dawson,10,10,3,1.0,0.0,3,1,1,333.33,1,v New Zealand,Hamilton,2018/02/18,England,0.0,0.0,0-49,Won,2 runs,New Zealand v England,Away,Feb,2018,Feb 2018,1,Won
